Year,WHO region,Country,Beverage Types,Display Value
1970,Africa,Kenya,Tusker Lager,2.3
1970,Europe,France,Bordeaux Wine,5.8
1970,Asia,Japan,Sake,4.2
1970,Americas,United States,Old Fashioned,3.1
1970,Eastern Mediterranean,Iran,Arak,1.5
1970,Western Pacific,Australia,Fosters Lager,6.5
1965,Africa,Nigeria,Gulder Lager,1.8
1965,Europe,Italy,Chianti,4.5
1965,Asia,China,Rice Wine,3.9
1965,Americas,Canada,Caesar Cocktail,2.7
1965,Eastern Mediterranean,Lebanon,Ouzo,1.1
1965,Western Pacific,Samoa,Availa,0.8
1960,Africa,South Africa,Klipdrift Brandy,2.1
1960,Europe,Spain,Sherry,3.9
1960,Asia,South Korea,Makgeolli,3.2
1960,Americas,Argentina,Malbec,2.3
1960,Eastern Mediterranean,Egypt,Zamzam Cola,1.0
1960,Western Pacific,Philippines,San Miguel Beer,5.2
1955,Africa,Morocco,Mint Tea with Brandy,1.5
1955,Europe,Portugal,Port Wine,3.8
1955,Asia,Thailand,Mai Tai,4.2
1955,Americas,Brazil,Caipirinha,2.9
1955,Eastern Mediterranean,Iran,Vermouth,0.8
1955,Western Pacific,New Zealand,Pinot Noir,5.5
1950,Africa,Nigeria,Star Lager,1.2
1950,Europe,France,Champagne,3.5
1950,Asia,Japan,Umeshu,2.1
1950,Americas,United States,Martini,2.9
1950,Eastern Mediterranean,Iran,Arak,0.7
1950,Western Pacific,Australia,Shiraz,4.8
1945,Africa,South Africa,Brandy and Coke,1.6
1945,Europe,Italy,Amaro Montenegro,2.2
1945,Asia,China,Baijiu,5.1
1945,Americas,Mexico,Tequila Sunrise,3.2
1945,Eastern Mediterranean,Egypt,Zibib,0.5
1945,Western Pacific,Philippines,San Miguel Pale Pilsen,4.1
1940,Africa,Kenya,Tusker Lager,1.0
1940,Europe,Spain,Sangria,2.4
1940,Asia,Thailand,Singha Beer,3.1
1940,Americas,Brazil,Caipirinha,1.8
1940,Eastern Mediterranean,Iran,Vermouth,0.3
1940,Western Pacific,New Zealand,Sauvignon Blanc,3.7
